Ticker,Prior Close,Breakout Trigger (+4%),Suggested Stop Loss
AFL,117.86,122.57,117.28
LNT,73.95,76.91,73.05
MO,73.9,76.86,73.48
AEP,131.59,136.85,129.58
AIG,77.05,80.13,76.87
AMT,183.85,191.2,181.62
AMAT,432.16,449.45,430.29
ADM,77.52,80.62,77.06
ARES,124.41,129.39,123.6
AVB,185.65,193.08,183.58
BRK-B,486.38,505.84,479.49
BNY,139.15,144.72,139.11
CNC,59.14,61.51,58.11
KO,81.48,84.74,80.92
CL,90.61,94.23,90.54
COST,1028.24,1069.37,1025.19
CCI,91.46,95.12,90.58
CSX,45.52,47.34,45.46
CVS,93.26,96.99,93.0
FANG,200.71,208.74,198.0
D,67.67,70.38,67.43
ELV,394.69,410.48,392.02
EOG,141.22,146.87,139.27
EVRG,83.94,87.3,82.84
EXPD,158.48,164.82,156.38
BEN,31.02,32.26,30.84
HAL,41.47,43.13,41.01
HLT,321.08,333.92,318.41
KMI,33.79,35.14,33.35
LLY,1065.0,1107.6,1047.07
LYV,165.55,172.17,164.16
MET,84.06,87.42,83.89
MSFT,418.57,435.31,416.33
MDLZ,61.76,64.23,61.42
MNST,86.79,90.26,85.86
MS,201.03,209.07,200.63
NDAQ,91.01,94.65,90.41
NI,47.85,49.76,47.38
NSC,314.53,327.11,311.17
OKE,94.03,97.79,92.41
PM,188.99,196.55,187.35
PNC,219.23,228.0,218.6
PRU,104.12,108.28,104.02
SPG,204.41,212.59,203.46
SJM,103.36,107.49,101.41
STT,153.95,160.11,153.51
TROW,103.39,107.53,102.04
TRV,306.46,318.72,306.04
UDR,38.01,39.53,37.39
UNH,388.47,404.01,381.01
VTR,88.18,91.71,87.9
V,328.88,342.04,328.82
WRB,67.54,70.24,67.17
WELL,216.17,224.82,215.24
WDC,484.28,503.65,478.55
WMB,78.47,81.61,77.47
XEL,81.08,84.32,79.98
