Ticker,Sector,Live Price,Breakout Trigger (+4%),Suggested Stop Loss
360ONE,Financial Services,1112.4,1158.66,1103.0
ACUTAAS,Basic Materials,2951.2,3071.33,2930.0
ADANIENSOL,Utilities,1367.9,1421.68,1363.1
ADANIENT,Energy,2717.3,2825.99,2706.1
ADANIGREEN,Utilities,1362.3,1416.79,1359.0
ADANIPORTS,Industrials,1786.9,1859.62,1780.5
AEGISLOG,Energy,724.45,754.0,720.75
ASIANPAINT,Basic Materials,2639.8,2745.39,2600.2
BSE,Financial Services,4193.8,4361.86,4151.5
BAJAJ-AUTO,Consumer Cyclical,10549.5,10972.0,10537.0
BERGEPAINT,Basic Materials,501.15,520.0,496.35
BHEL,Industrials,408.55,425.2,407.1
CGPOWER,Industrials,865.7,900.85,858.0
COFORGE,Technology,1387.1,1438.32,1369.7
CUMMINSIND,Industrials,5353.0,5567.12,5335.5
HDFCAMC,Financial Services,2738.7,2848.25,2720.0
HINDZINC,Basic Materials,632.25,656.6,629.9
ICICIGI,Financial Services,1826.2,1899.25,1808.5
INDUSINDBK,Financial Services,910.15,946.56,902.7
JSWSTEEL,Basic Materials,1285.5,1339.0,1278.1
KEI,Industrials,5260.5,5496.4,5232.6
KOTAKBANK,Financial Services,384.15,399.52,381.0
MANAPPURAM,Financial Services,324.1,337.06,320.15
MOTILALOFS,Financial Services,849.45,884.83,837.0
NATIONALUM,Basic Materials,409.25,425.36,403.25
NAVINFLUOR,Basic Materials,7125.0,7386.08,7031.0
NAM-INDIA,Financial Services,1080.4,1127.36,1064.5
OIL,Energy,499.75,520.47,498.4
PNBHOUSING,Financial Services,1059.6,1101.98,1047.8
PHOENIXLTD,Real Estate,1790.3,1861.91,1771.3
POLYCAB,Industrials,9263.5,9634.04,9194.0
RRKABEL,Industrials,1947.6,2022.7,1912.1
TMPV,Consumer Cyclical,363.35,378.51,361.75
TATATECH,Technology,671.35,696.8,656.35
NIACL,Financial Services,164.64,171.23,163.55
