Ticker,Prior Close,Breakout Trigger (+4%),Risk Level (Prior Low)
AES,14.7,15.29,14.65
AFL,117.16,121.84,117.28
AKAM,147.36,153.25,145.51
LNT,73.28,76.21,73.05
MO,73.83,76.78,73.48
AEP,129.75,134.94,129.58
AIG,77.51,80.61,76.87
AMT,184.25,191.62,181.62
AMAT,428.01,445.13,430.29
ADM,77.52,80.62,77.06
AIZ,255.7,265.93,254.19
AVB,184.0,191.36,183.58
BAC,51.48,53.54,51.65
BIIB,185.79,193.22,190.01
BLK,1062.97,1105.49,1065.19
BXP,59.9,62.3,59.71
CNC,57.99,60.31,58.11
CHD,95.91,99.75,95.58
CINF,166.39,173.05,167.61
KO,81.17,84.42,80.92
CL,90.25,93.86,90.54
COST,1052.05,1094.13,1025.19
CSX,45.56,47.38,45.46
CVS,93.36,97.09,93.0
DAL,75.75,78.78,75.51
D,68.44,71.18,67.43
DD,47.2,49.09,47.25
ELV,389.39,404.97,392.02
EQIX,1091.16,1134.81,1068.55
EQR,66.02,68.66,65.56
ESS,273.8,284.75,273.45
EG,356.45,370.71,352.33
EXR,146.72,152.59,142.28
FFIV,383.5,398.84,386.69
FITB,49.0,50.96,49.16
BEN,30.79,32.02,30.84
GEN,24.86,25.85,24.8
GPN,71.32,74.17,72.53
GL,156.6,162.86,155.56
GS,989.0,1028.56,990.9
HAL,42.25,43.94,41.01
HUM,299.26,311.23,302.0
IVZ,26.98,28.06,27.0
IRM,128.98,134.14,126.18
JPM,303.0,315.12,303.84
KVUE,17.52,18.22,17.47
KDP,28.66,29.81,28.66
KEY,21.49,22.35,21.5
KMI,33.41,34.74,33.35
KHC,23.67,24.62,23.53
LRCX,305.0,317.2,303.18
LIN,513.42,533.95,514.98
LYV,162.81,169.32,164.16
MTB,212.33,220.82,212.16
MAR,374.82,389.81,367.3
MET,84.3,87.67,83.89
MSFT,420.98,437.82,416.33
MNST,86.4,89.86,85.86
MCO,445.3,463.11,445.62
MS,201.0,209.04,200.63
MSCI,592.5,616.2,580.0
NI,48.0,49.92,47.38
NDSN,285.22,296.63,285.38
NTRS,167.11,173.79,166.11
PM,188.35,195.88,187.35
PNW,100.68,104.71,100.71
PNC,219.6,228.38,218.6
PPG,107.69,112.0,106.17
PFG,103.92,108.08,103.25
PLD,144.57,150.35,144.4
PRU,104.25,108.42,104.02
REG,78.34,81.47,78.14
RVTY,95.45,99.27,94.71
SJM,101.9,105.98,101.41
STT,152.6,158.7,153.51
TGT,125.85,130.88,125.11
TER,353.0,367.12,352.41
TXT,89.86,93.46,90.54
TRV,305.17,317.38,306.04
UAL,99.53,103.51,99.03
VLO,241.16,250.81,241.44
VTR,87.98,91.5,87.9
VRSN,305.93,318.17,304.91
VTRS,16.46,17.12,16.39
WRB,68.02,70.74,67.17
WELL,214.97,223.57,215.24
WST,317.0,329.68,311.07
WDC,488.84,508.39,478.55
XEL,79.73,82.92,79.98
